fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_preferred,price_earnings,price_book,price_sales,price_cashflow,median_market_cap,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,morningstar_risk_rating,years_up,years_down,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
LIORX,"ClearBridge International Value Fund Class R",Foreign Large Value,"Legg Mason",359930000,7.87,0.45,1,2014-01-30,Value,Large,USD,1.51,1.11,2.25,97.75,0,10.19,1.03,0.8,4.2,23500.86,12.44,11.67,24.77,0,5.53,10.92,0,2.92,10.11,12.66,8.95,7.87,8.71,-1.82,-0.4,7.87,8.71,-14.99,-6.27,3.02,5.92,-2.12,0.62,7.34,8.08,-22.68,-15.44,22.91,22.08,3.05,3.34,-3.84,-3.1,NaN,-6.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,2,2,0.31,0.01,-0.11,0,0.7,0.01,92.45,0.85,91.67,0.89,90.26,0.93,12.63,0.11,12.76,0.12,15.9,0.16,0.2,0,-0.17,0,0.5,0.01,1.5,0.05,-2.87,-0,7.19,0.08
LIRRX,"Lord Abbett International Value Fund Class R3",Foreign Large Value,"Lord Abbett",685600000,7.28,2.99,2,2008-06-29,Value,Large,USD,1.37,1.11,0.01,99.99,0,10.73,1.15,1.06,4.98,42175.44,6.39,10.34,30.97,5.13,6.02,10.84,3.02,3.19,11.31,7.91,4.86,7.28,8.71,-0.26,-0.4,7.28,8.71,-9.05,-6.27,3.55,5.92,-1.49,0.62,6.83,8.08,-16.16,-15.44,21.04,22.08,2.26,3.34,-11.96,-3.1,-3.3,-6.32,14.34,20.81,15.29,16.21,-9.15,-12.77,4.05,7.48,3,6,4,0.33,0.01,-0.07,0,0.66,0.01,93.85,0.85,92.94,0.89,94.9,0.93,9.94,0.11,11.46,0.12,16.2,0.16,0.27,0,-0.14,0,0.46,0.01,2.48,0.05,-2.5,-0,6.37,0.08
LIRSX,"Lord Abbett International Value Fund Class R4",Foreign Large Value,"Lord Abbett",685600000,7.28,3.33,2,2015-06-29,Value,Large,USD,1.12,1.11,0.01,99.99,0,10.73,1.15,1.06,4.98,42175.44,6.39,10.34,30.97,5.13,6.02,10.84,3.02,3.19,11.31,7.91,4.86,7.28,8.71,-0.33,-0.4,7.28,8.71,-8.89,-6.27,3.79,5.92,-1.27,0.62,7.01,8.08,-15.97,-15.44,21.34,22.08,2.4,3.34,NaN,-3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,1,0.35,0.01,-0.05,0,0.67,0.01,93.9,0.85,93.03,0.89,94.93,0.93,9.94,0.11,11.43,0.12,16.13,0.16,0.29,0,-0.12,0,0.47,0.01,2.74,0.05,-2.25,-0,6.57,0.08
LIRTX,"Lord Abbett International Value Fund Class R5",Foreign Large Value,"Lord Abbett",685600000,7.31,3.55,2,2015-06-29,Value,Large,USD,0.87,1.11,0.01,99.99,0,10.73,1.15,1.06,4.98,42175.44,6.39,10.34,30.97,5.13,6.02,10.84,3.02,3.19,11.31,7.91,4.86,7.31,8.71,-0.27,-0.4,7.31,8.71,-8.63,-6.27,4.07,5.92,-1.02,0.62,7.22,8.08,-15.77,-15.44,21.78,22.08,2.79,3.34,NaN,-3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,1,0.37,0.01,-0.03,0,0.69,0.01,93.83,0.85,92.91,0.89,94.91,0.93,9.9,0.11,11.45,0.12,16.14,0.16,0.32,0,-0.1,0,0.48,0.01,3.06,0.05,-1.99,-0,6.78,0.08
LIRVX,"Lord Abbett International Value Fund Class R6",Foreign Large Value,"Lord Abbett",685600000,7.29,3.55,2,2015-06-29,Value,Large,USD,0.81,1.11,0.01,99.99,0,10.73,1.15,1.06,4.98,42175.44,6.39,10.34,30.97,5.13,6.02,10.84,3.02,3.19,11.31,7.91,4.86,7.29,8.71,-0.27,-0.4,7.29,8.71,-8.61,-6.27,4.12,5.92,-1,0.62,7.23,8.08,-15.75,-15.44,21.76,22.08,2.79,3.34,NaN,-3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,1,0.38,0.01,-0.03,0,0.69,0.01,93.94,0.85,93.13,0.89,94.97,0.93,9.94,0.11,11.45,0.12,16.14,0.16,0.32,0,-0.1,0,0.49,0.01,3.1,0.05,-1.96,-0,6.8,0.08
LISGX,"ClearBridge Small Cap Fund Class IS",Small Growth,"Legg Mason",1150000000,16.99,0,3,2017-09-07,Blend,Small,USD,0.87,1.2,4.96,95.04,0,14.41,1.44,0.97,6.7,2096.25,6.07,13.61,20.25,6.44,3.75,11.48,3.67,0.98,3.52,14.5,15.72,16.99,17.01,-1.39,-1.12,16.99,17.01,7.64,7.7,14.25,15.88,8.6,8.45,15.95,16.24,-8.8,-5.76,NaN,21.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,1,1.22,0.01,0.79,0.01,1.38,0.01,73.55,0.7,69.89,0.65,79.53,0.73,15.55,0.16,15.36,0.17,18.3,0.18,0.85,0.01,0.56,0.01,0.88,0.01,10.42,0.12,6.79,0.06,12.05,0.13
LISIX,"Lazard International Strategic Equity Portfolio Institutional Shares",Foreign Large Growth,"Lazard",6290000000,11.48,1.34,4,2005-10-30,Growth,Large,USD,0.8,1.13,4.28,95.72,0,14.3,1.96,1.66,6.38,30717.79,2.49,18.8,24.91,2.11,12.54,8.22,0.99,1.01,4.34,15.15,9.45,11.48,13,1.05,1.97,11.48,13,-2.3,-3.2,6.72,8.05,2.98,3.86,10.97,9.97,-10.35,-14.08,27.85,30.87,-5.17,-2.14,-1.7,0.95,-1.48,-3.92,25.02,18.58,25,17.7,-9.7,-12.3,14.43,14.78,3,7,6,0.59,0.01,0.3,0,0.97,0.01,85.32,0.81,86.28,0.83,92.28,0.91,10.52,0.12,11.2,0.12,15.51,0.15,0.55,0.01,0.25,0,0.72,0.01,5.92,0.05,2.52,0.03,11.13,0.1
LISOX,"Lazard International Strategic Equity Portfolio Open Shares",Foreign Large Growth,"Lazard",6290000000,11.38,1.1,3,2006-02-02,Growth,Large,USD,1.06,1.13,4.28,95.72,0,14.3,1.96,1.66,6.38,30717.79,2.49,18.8,24.91,2.11,12.54,8.22,0.99,1.01,4.34,15.15,9.45,11.38,13,0.98,1.97,11.38,13,-2.53,-3.2,6.44,8.05,2.72,3.86,10.68,9.97,-10.55,-14.08,27.44,30.87,-5.37,-2.14,-1.89,0.95,-1.78,-3.92,24.73,18.58,24.74,17.7,-10.01,-12.3,14.09,14.78,3,6,6,0.57,0.01,0.28,0,0.95,0.01,85.39,0.81,86.26,0.83,92.31,0.91,10.5,0.12,11.2,0.12,15.53,0.15,0.52,0.01,0.22,0,0.7,0.01,5.62,0.05,2.22,0.03,10.81,0.1
LIVVX,"ClearBridge Large Cap Value Fund Class A2",Large Value,"Legg Mason",1620000000,12.27,1.27,3,2013-08-15,Value,Large,USD,0.95,1,4.9,95.1,0,14.86,2.18,1.53,7.26,97376.27,4.6,3.08,26.45,0,3.29,16.23,1.81,12.18,9.49,11.28,11.57,12.27,11.29,0.18,0.46,12.27,11.29,5.35,4.48,8.9,10.01,6.73,7.2,13.24,13.68,-9.14,-8.53,14,15.94,12.59,14.81,-3.18,-4.05,11.19,10.21,NaN,31.21,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2,0.77,0.01,0.6,0.01,1.11,0.01,84.14,0.84,89.82,0.86,93.03,0.9,11.27,0.11,11.5,0.11,12.8,0.13,0.7,0.01,0.56,0.01,1,0.01,7.9,0.09,6.08,0.07,13.14,0.14
LKSCX,"LKCM Small Capital Equity Fund Class Institutional",Small Growth,"LKCM",183880000,14.87,0,2,1994-07-13,Growth,Small,USD,1,1.2,0,100,0,17.58,2.35,1.97,11.84,2209.09,3.47,11.55,15.92,4.22,4.23,11.24,0,0,2.73,18.93,27.7,14.87,17.01,-2.59,-1.12,14.87,17.01,6.87,7.7,13.13,15.88,5.14,8.45,14.27,16.24,-5.7,-5.76,17.04,21.5,9.27,11.2,-5.58,-2.41,-3.11,2.44,35.11,40.91,9.74,13.15,4.47,-3.55,32.98,26.98,3,17,7,1.15,0.01,0.53,0.01,1.24,0.01,74.05,0.7,66.15,0.65,73.19,0.73,16.51,0.16,16.56,0.17,17.31,0.18,0.75,0.01,0.34,0.01,0.84,0.01,8.96,0.12,3.6,0.06,11.85,0.13
LLPFX,"Longleaf Partners Fund",Large Blend,"Longleaf Partners",2080000000,11.88,1.95,1,1987-04-07,Value,Large,USD,0.95,0.94,6.07,93.93,0,12,1.12,1.06,5.29,21065.11,5.25,11.7,10.46,10.31,0,5.09,0,13.03,5.86,33.3,4.99,11.88,12.94,-1.35,1.29,11.88,12.94,-5.77,6.9,7.04,11.84,1.69,8.91,11.67,14.54,-17.98,-6.27,15.51,20.44,20.72,10.37,-18.8,-1.07,4.92,10.96,32.12,31.5,16.53,14.96,-2.85,-1.27,17.89,14.01,5,24,7,0.64,0.01,0.23,0.01,1.04,0.01,69.77,0.92,75.38,0.93,79.03,0.94,13.49,0.11,15.07,0.12,16.87,0.13,0.48,0.01,0.13,0.01,0.71,0.01,5.46,0.11,0.76,0.08,9.49,0.14
LMARX,"ClearBridge Small Cap Fund Class R",Small Growth,"Legg Mason",1150000000,16.78,0,3,2006-12-27,Blend,Small,USD,1.55,1.2,4.96,95.04,0,14.41,1.44,0.97,6.7,2096.25,6.07,13.61,20.25,6.44,3.75,11.48,3.67,0.98,3.52,14.5,15.72,16.78,17.01,-1.46,-1.12,16.78,17.01,6.87,7.7,14.15,15.88,8.7,8.45,16.2,16.24,-9.42,-5.76,11.63,21.5,26.94,11.2,-4.74,-2.41,7.34,2.44,35.52,40.91,18.53,13.15,-17,-3.55,19.51,26.98,3,7,5,1.21,0.01,0.8,0.01,1.4,0.01,73.44,0.7,69.82,0.65,79.53,0.73,15.58,0.16,15.38,0.17,18.3,0.18,0.85,0.01,0.57,0.01,0.89,0.01,10.33,0.12,6.88,0.06,12.25,0.13
LMASX,"ClearBridge Small Cap Fund Class C",Small Growth,"Legg Mason",1150000000,16.67,0,2,1985-12-29,Blend,Small,USD,1.94,1.2,4.96,95.04,0,14.41,1.44,0.97,6.7,2096.25,6.07,13.61,20.25,6.44,3.75,11.48,3.67,0.98,3.52,14.5,15.72,16.67,17.01,-1.48,-1.12,16.67,17.01,6.48,7.7,13.64,15.88,8.25,8.45,15.76,16.24,-9.76,-5.76,11,21.5,26.44,11.2,-5.12,-2.41,7,2.44,35.08,40.91,18.23,13.15,-17.33,-3.55,19.01,26.98,3,24,9,1.17,0.01,0.76,0.01,1.36,0.01,73.48,0.7,69.87,0.65,79.52,0.73,15.57,0.16,15.37,0.17,18.31,0.18,0.82,0.01,0.54,0.01,0.87,0.01,9.93,0.12,6.49,0.06,11.9,0.13
LMBAX,"QS U.S. Small Capitalization Equity Fund Class A",Small Blend,"Legg Mason",184380000,14.09,0.05,2,2009-02-04,Blend,Small,USD,1.19,1.15,0.71,99.29,0,13.38,1.65,0.75,5.31,1955.66,5.24,14.68,17.59,7.54,2.9,15.54,4.01,0.74,3,10.57,18.19,14.09,13.34,-3.06,-2.31,14.09,13.34,-2.61,-0.03,7.96,10.17,5.02,5.62,14.38,14.67,-15.58,-12.72,8.46,12.28,19.46,20.78,-4.89,-5.38,9.09,3.79,37.82,37.39,15.83,15.46,-2.4,-4.07,28.39,25.61,4,6,3,0.75,0.01,0.52,0.01,1.26,0.01,70.66,0.68,67.49,0.65,78.56,0.76,16.39,0.16,16.21,0.15,17.74,0.17,0.47,0.01,0.33,0,0.82,0.01,5.2,0.08,3.54,0.04,11.24,0.12
LMBCX,"QS U.S. Small Capitalization Equity Fund Class C",Small Blend,"Legg Mason",184380000,13.94,0,2,2009-02-04,Blend,Small,USD,1.95,1.15,0.71,99.29,0,13.38,1.65,0.75,5.31,1955.66,5.24,14.68,17.59,7.54,2.9,15.54,4.01,0.74,3,10.57,18.19,13.94,13.34,-3.05,-2.31,13.94,13.34,-3.27,-0.03,7.19,10.17,4.25,5.62,13.52,14.67,-16.18,-12.72,7.66,12.28,18.61,20.78,-5.59,-5.38,8.24,3.79,36.72,37.39,14.95,15.46,-3.16,-4.07,27.45,25.61,3,6,3,0.69,0.01,0.46,0.01,1.19,0.01,70.58,0.68,67.41,0.65,78.58,0.76,16.38,0.16,16.2,0.15,17.72,0.17,0.43,0.01,0.29,0,0.78,0.01,4.6,0.08,2.9,0.04,10.55,0.12
LMBMX,"QS U.S. Small Capitalization Equity Fund Class IS",Small Blend,"Legg Mason",184380000,14.23,0.48,3,2012-03-22,Blend,Small,USD,0.75,1.15,0.71,99.29,0,13.38,1.65,0.75,5.31,1955.66,5.24,14.68,17.59,7.54,2.9,15.54,4.01,0.74,3,10.57,18.19,14.23,13.34,-2.98,-2.31,14.23,13.34,-2.27,-0.03,8.42,10.17,5.47,5.62,14.82,14.67,-15.32,-12.72,9.02,12.28,20.04,20.78,-4.47,-5.38,9.5,3.79,38.46,37.39,NaN,15.46,NaN,NaN,NaN,NaN,4,4,2,0.79,0.01,0.55,0.01,1.29,0.01,70.73,0.68,67.65,0.65,78.92,0.76,16.41,0.16,16.22,0.15,17.79,0.17,0.5,0.01,0.36,0,0.84,0.01,5.54,0.08,3.91,0.04,11.53,0.12
LMCCX,"Lord Abbett Mid Cap Stock Fund Class C",Mid-Cap Value,"Lord Abbett",2120000000,13.2,0.01,2,1997-04-30,Value,Medium,USD,1.7,1.09,0,100,0,14.86,1.78,1.2,9.54,10087.63,6.3,9.63,21.72,10.3,5.63,7.55,6.96,0.71,8.05,14.72,8.43,13.2,12.94,-0.71,-0.67,13.2,12.94,-2.11,0.66,5.08,8.55,3.99,5.87,12.18,14.46,-15.2,-12.86,6.25,13.22,15.7,18.06,-4.27,-5.41,10.9,9.31,29.41,35.14,13.79,16.6,-4.59,-3.96,24.74,21.92,3,14,7,0.48,0.01,0.39,0.01,1.05,0.01,83.77,0.78,84.82,0.79,88,0.85,12.13,0.13,12.56,0.13,14.92,0.16,0.36,0.01,0.31,0,0.82,0.01,3.66,0.07,3.08,0.05,10.63,0.12
LMCFX,"Lord Abbett Mid Cap Stock Fund Class F",Mid-Cap Value,"Lord Abbett",2120000000,13.45,1.07,2,2007-09-27,Value,Medium,USD,0.8,1.09,0,100,0,14.86,1.78,1.2,9.54,10087.63,6.3,9.63,21.72,10.3,5.63,7.55,6.96,0.71,8.05,14.72,8.43,13.45,12.94,-0.63,-0.67,13.45,12.94,-1.16,0.66,6.06,8.55,4.95,5.87,13.19,14.46,-14.38,-12.86,7.2,13.22,16.77,18.06,-3.41,-5.41,11.89,9.31,30.58,35.14,14.76,16.6,-3.69,-3.96,25.84,21.92,3,7,4,0.55,0.01,0.47,0.01,1.13,0.01,83.64,0.78,84.79,0.79,87.99,0.85,12.12,0.13,12.56,0.13,14.94,0.16,0.44,0.01,0.38,0,0.88,0.01,4.61,0.07,4.01,0.05,11.53,0.12
LMCHX,"Lord Abbett Mid Cap Stock Fund Class R6",Mid-Cap Value,"Lord Abbett",2120000000,13.48,1.19,2,2015-06-29,Value,Medium,USD,0.62,1.09,0,100,0,14.86,1.78,1.2,9.54,10087.63,6.3,9.63,21.72,10.3,5.63,7.55,6.96,0.71,8.05,14.72,8.43,13.48,12.94,-0.59,-0.67,13.48,12.94,-1.02,0.66,6.25,8.55,5.05,5.87,13.11,14.46,-14.25,-12.86,7.4,13.22,17.03,18.06,NaN,-5.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,1,0.57,0.01,0.48,0.01,1.12,0.01,83.69,0.78,84.84,0.79,88.08,0.85,12.13,0.13,12.56,0.13,14.93,0.16,0.45,0.01,0.39,0,0.87,0.01,4.79,0.07,4.1,0.05,11.46,0.12
LMCPX,"Lord Abbett Mid Cap Stock Fund Class P",Mid-Cap Value,"Lord Abbett",2120000000,13.33,0.68,2,1997-11-23,Value,Medium,USD,1.15,1.09,0,100,0,14.86,1.78,1.2,9.54,10087.63,6.3,9.63,21.72,10.3,5.63,7.55,6.96,0.71,8.05,14.72,8.43,13.33,12.94,-0.64,-0.67,13.33,12.94,-1.54,0.66,5.67,8.55,4.6,5.87,12.85,14.46,-14.71,-12.86,6.84,13.22,16.35,18.06,-3.68,-5.41,11.63,9.31,30.34,35.14,14.49,16.6,-4.03,-3.96,25.43,21.92,3,15,6,0.52,0.01,0.44,0.01,1.1,0.01,83.77,0.78,84.85,0.79,88.03,0.85,12.12,0.13,12.56,0.13,14.93,0.16,0.41,0.01,0.36,0,0.86,0.01,4.23,0.07,3.67,0.05,11.22,0.12
LMCQX,"Lord Abbett Mid Cap Stock Fund Class R2",Mid-Cap Value,"Lord Abbett",2120000000,13.3,0.75,2,2008-03-30,Value,Medium,USD,1.3,1.09,0,100,0,14.86,1.78,1.2,9.54,10087.63,6.3,9.63,21.72,10.3,5.63,7.55,6.96,0.71,8.05,14.72,8.43,13.3,12.94,-0.63,-0.67,13.3,12.94,-1.71,0.66,5.52,8.55,4.42,5.87,12.62,14.46,-14.84,-12.86,6.68,13.22,16.2,18.06,-3.92,-5.41,11.3,9.31,30.02,35.14,14.21,16.6,-4.24,-3.96,25.24,21.92,3,7,3,0.51,0.01,0.43,0.01,1.09,0.01,83.71,0.78,84.86,0.79,88.07,0.85,12.13,0.13,12.56,0.13,14.93,0.16,0.4,0.01,0.34,0,0.84,0.01,4.08,0.07,3.49,0.05,11.02,0.12
LMCRX,"Lord Abbett Mid Cap Stock Fund Class R3",Mid-Cap Value,"Lord Abbett",2120000000,13.33,0.62,2,2008-03-30,Value,Medium,USD,1.2,1.09,0,100,0,14.86,1.78,1.2,9.54,10087.63,6.3,9.63,21.72,10.3,5.63,7.55,6.96,0.71,8.05,14.72,8.43,13.33,12.94,-0.66,-0.67,13.33,12.94,-1.52,0.66,5.66,8.55,4.55,5.87,12.76,14.46,-14.66,-12.86,6.76,13.22,16.29,18.06,-3.77,-5.41,11.45,9.31,30.07,35.14,14.33,16.6,-4.1,-3.96,25.38,21.92,3,7,3,0.52,0.01,0.44,0.01,1.1,0.01,83.69,0.78,84.81,0.79,88.02,0.85,12.12,0.13,12.56,0.13,14.92,0.16,0.41,0.01,0.35,0,0.85,0.01,4.23,0.07,3.62,0.05,11.15,0.12
LMCSX,"Lord Abbett Mid Cap Stock Fund Class R4",Mid-Cap Value,"Lord Abbett",2120000000,13.41,0.85,2,2015-06-29,Value,Medium,USD,0.95,1.09,0,100,0,14.86,1.78,1.2,9.54,10087.63,6.3,9.63,21.72,10.3,5.63,7.55,6.96,0.71,8.05,14.72,8.43,13.41,12.94,-0.62,-0.67,13.41,12.94,-1.36,0.66,5.89,8.55,4.78,5.87,12.96,14.46,-14.54,-12.86,7.04,13.22,16.61,18.06,NaN,-5.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,1,0.54,0.01,0.46,0.01,1.11,0.01,83.82,0.78,84.9,0.79,88.08,0.85,12.13,0.13,12.56,0.13,14.94,0.16,0.42,0.01,0.37,0,0.86,0.01,4.44,0.07,3.84,0.05,11.32,0.12
LMCTX,"Lord Abbett Mid Cap Stock Fund Class R5",Mid-Cap Value,"Lord Abbett",2120000000,13.45,1.18,2,2015-06-29,Value,Medium,USD,0.7,1.09,0,100,0,14.86,1.78,1.2,9.54,10087.63,6.3,9.63,21.72,10.3,5.63,7.55,6.96,0.71,8.05,14.72,8.43,13.45,12.94,-0.59,-0.67,13.45,12.94,-1.14,0.66,6.13,8.55,4.96,5.87,13.06,14.46,-14.33,-12.86,7.3,13.22,16.86,18.06,NaN,-5.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,1,0.56,0.01,0.47,0.01,1.12,0.01,83.77,0.78,84.91,0.79,88.1,0.85,12.12,0.13,12.56,0.13,14.93,0.16,0.44,0.01,0.38,0,0.87,0.01,4.67,0.07,4.01,0.05,11.41,0.12
LMCYX,"Lord Abbett Mid Cap Stock Fund Class I",Mid-Cap Value,"Lord Abbett",2120000000,13.49,1.17,2,1999-05-02,Value,Medium,USD,0.7,1.09,0,100,0,14.86,1.78,1.2,9.54,10087.63,6.3,9.63,21.72,10.3,5.63,7.55,6.96,0.71,8.05,14.72,8.43,13.49,12.94,-0.59,-0.67,13.49,12.94,-1.11,0.66,6.15,8.55,5.04,5.87,13.3,14.46,-14.34,-12.86,7.29,13.22,16.9,18.06,-3.31,-5.41,11.97,9.31,30.76,35.14,14.88,16.6,-3.64,-3.96,25.98,21.92,3,14,5,0.56,0.01,0.48,0.01,1.14,0.01,83.73,0.78,84.82,0.79,87.98,0.85,12.15,0.13,12.58,0.13,14.95,0.16,0.44,0.01,0.39,0,0.88,0.01,4.68,0.07,4.09,0.05,11.62,0.12
LMEAX,"QS International Equity Fund Class A",Foreign Large Blend,"Legg Mason",251970000,10.04,2.32,3,2009-02-02,Value,Large,USD,1.3,1.01,2.56,97.45,0,11.54,1.2,0.83,5.08,25128.62,9.36,11.66,18.56,5.23,10.35,9.74,4.48,3.88,6.87,12.62,7.23,10.04,10.24,0.13,0.7,10.04,10.24,-6.38,-5.01,6.23,6.62,2.72,2.1,7.99,8.43,-16,-14.59,24.53,25.12,0.47,0.79,1.86,-1.59,-2.45,-4.98,20.89,19.44,13.23,18.29,-12.54,-13.97,8.95,10.24,2,6,3,0.55,0.01,0.27,0,0.74,0.01,94.21,0.9,91.5,0.9,94.13,0.94,10.67,0.11,11.06,0.12,15.23,0.16,0.5,0.01,0.22,0,0.55,0.01,5.04,0.06,2.18,0.01,8.04,0.08
LMESX,"ClearBridge Appreciation Fund Class IS",Large Blend,"Legg Mason",6140000000,11.61,1.35,3,2008-08-03,Blend,Large,USD,0.58,0.94,2.27,97.73,0,17.78,3.12,2.28,11.27,172035.56,5.72,8.18,17.53,0,6.06,15.14,0.68,7.85,6.63,11.06,21.14,11.61,12.94,2.33,1.29,11.61,12.94,11.8,6.9,12.26,11.84,10.06,8.91,14.42,14.54,-1.79,-6.27,19.98,20.44,9.47,10.37,1.89,-1.07,11.2,10.96,29.77,31.5,15.97,14.96,2.62,-1.27,12.82,14.01,1,9,1,1.01,0.01,0.85,0.01,1.18,0.01,95.62,0.92,96.9,0.93,98.01,0.94,9.85,0.11,10.49,0.12,11.55,0.13,1.1,0.01,0.89,0.01,1.19,0.01,12.23,0.11,10.04,0.08,15.51,0.14
LMGAX,"Lord Abbett Growth Opportunities Fund Class A",Mid-Cap Growth,"Lord Abbett",793790000,19.84,0,3,1995-07-31,Growth,Medium,USD,1.18,1.19,0,100,0,22.95,4.17,2.68,13.53,15201.16,3.27,10.37,9.31,1.21,6.99,15.12,0,1.63,1.09,21.92,29.08,19.84,18.19,1.79,0.92,19.84,18.19,13.8,8.04,13.66,14.18,9.17,8.99,14.99,15.7,-3.36,-6.65,22.84,23.91,1.04,6.03,2.68,-0.95,6.32,7,37.09,34.93,13.81,14.07,-10.04,-3.96,23.26,24.61,3,17,6,1.14,0.01,0.8,0.01,1.29,0.01,83.25,0.81,81.55,0.78,83.44,0.82,12.5,0.14,12.95,0.14,16.76,0.16,0.99,0.01,0.68,0.01,0.89,0.01,11.68,0.11,8.02,0.07,12.06,0.14
LMGCX,"Lord Abbett Growth Opportunities Fund Class C",Mid-Cap Growth,"Lord Abbett",793790000,19.6,0,3,1998-10-18,Growth,Medium,USD,1.93,1.19,0,100,0,22.95,4.17,2.68,13.53,15201.16,3.27,10.37,9.31,1.21,6.99,15.12,0,1.63,1.09,21.92,29.08,19.6,18.19,1.7,0.92,19.6,18.19,12.98,8.04,12.82,14.18,8.35,8.99,14.2,15.7,-4.1,-6.65,21.92,23.91,0.29,6.03,1.96,-0.95,5.53,7,36.27,34.93,13.09,14.07,-10.61,-3.96,22.43,24.61,3,14,6,1.07,0.01,0.74,0.01,1.23,0.01,83.62,0.81,81.74,0.78,83.49,0.82,12.47,0.14,12.95,0.14,16.76,0.16,0.93,0.01,0.62,0.01,0.85,0.01,10.88,0.11,7.22,0.07,11.4,0.14
LMGEX,"QS International Equity Fund Class C",Foreign Large Blend,"Legg Mason",251970000,9.83,1.47,2,1995-02-16,Value,Large,USD,1.98,1.01,2.56,97.45,0,11.54,1.2,0.83,5.08,25128.62,9.36,11.66,18.56,5.23,10.35,9.74,4.48,3.88,6.87,12.62,7.23,9.83,10.24,0.07,0.7,9.83,10.24,-7.12,-5.01,5.4,6.62,1.91,2.1,7.17,8.43,-16.65,-14.59,23.58,25.12,-0.31,0.79,0.99,-1.59,-3.15,-4.98,19.94,19.44,12.52,18.29,-13.22,-13.97,8.13,10.24,2,15,8,0.49,0.01,0.21,0,0.67,0.01,94.12,0.9,91.4,0.9,94.13,0.94,10.65,0.11,11.03,0.12,15.19,0.16,0.42,0.01,0.15,0,0.5,0.01,4.2,0.06,1.26,0.01,7.18,0.08
LMGFX,"ClearBridge International Growth Fund Class FI",Foreign Large Growth,"Legg Mason",1120000000,14.13,0.01,5,2004-01-28,Growth,Large,USD,1.16,1.13,1,99,0,21.31,3.74,2.99,16.23,37249.24,6.09,11.18,15.93,0,15.51,10.96,0,1.94,2.03,17.03,19.33,14.13,13,2.92,1.97,14.13,13,0.67,-3.2,12.14,8.05,7.07,3.86,13.82,9.97,-9.62,-14.08,36.1,30.87,-2.03,-2.14,-2.51,0.95,7.25,-3.92,28.71,18.58,16.54,17.7,-2.15,-12.3,13.71,14.78,3,9,5,1.02,0.01,0.64,0,1.17,0.01,77.19,0.81,78.85,0.83,80.03,0.91,11.74,0.12,12.57,0.12,14.46,0.15,0.93,0.01,0.54,0,0.94,0.01,11.12,0.05,6.74,0.03,16.29,0.1
